"Region","year","gdpgrowth"
Euro area,2010,2.1 
Euro area,2005,1.7
Euro area,2000,3.9
Euro area,1995,2.5
Euro area,1990,3.6
Euro area,1985,2.3
Euro area,1980,2.2
Euro area,1975,-0.8 
Ireland,2015,7.8
Ireland,2010,0.4
Ireland,2005,6.3
Ireland,2000,10.2
Ireland,1995,9.6
Ireland,1990,8.5
Ireland,1985,3.1
Ireland,1980,3.1
Ireland,1975,5.7
OECD members,2015,2.0
OECD members,2010,2.9
OECD members,2005,2.7
OECD members,2000,4.0
OECD members,1995,2.6
OECD members,1990,3.2
OECD members,1985,3.9
OECD members,1980,1.3
OECD members,1975,0.4